stock_code,risk_adjusted_return_score,momentun_score,price_volume_factor
sh600000,0.6998324156092889,0.9969178284369142,1.696750244046203
sh600004,0.6996648312185779,0.9968462047735728,1.6965110359921507
sh600006,0.6994972468278668,0.9967745691004665,1.6962718159283332
sh600007,0.6993296624371558,0.9967029214127034,1.6960325838498593
sh600008,0.6991620780464448,0.9966312617053888,1.6957933397518337
sh600009,0.6989944936557337,0.9965595899736246,1.6955540836293583
sh600010,0.6988269092650227,0.9964879062125093,1.695314815477532
sh600011,0.6986593248743116,0.9964162104171385,1.69507553529145
sh600012,0.6984917404836006,0.9963445025826047,1.6948362430662054
sh600015,0.6983241560928896,0.9962727827039968,1.6945969387968862
sh600016,0.6981565717021785,0.9962010507764011,1.6943576224785795
sh600017,0.6979889873114675,0.9961293067949002,1.6941182941063677
sh600018,0.6978214029207566,0.9960575507545739,1.6938789536753305
sh600019,0.6976538185300455,0.9959857826504985,1.6936396011805441
sh600020,0.6974862341393344,0.9959140024777473,1.6934002366170817
sh600021,0.6973186497486235,0.9958422102313903,1.6931608599800136
sh600022,0.6971510653579124,0.9957704059064943,1.6929214712644067
sh600023,0.6969834809672013,0.9956985894981232,1.6926820704653245
sh600025,0.6968158965764902,0.9956267610013372,1.6924426575778275
sh600026,0.6966483121857793,0.9955549204111934,1.6922032325969727
sh600027,0.6964807277950682,0.9954830677227462,1.6919637955178144
sh600028,0.6963131434043571,0.9954112029310461,1.6917243463354033
sh600029,0.6961455590136462,0.995339326031141,1.6914848850447872
sh600030,0.6959779746229351,0.9952674370180749,1.69124541164101
sh600031,0.695810390232224,0.9951955358868891,1.691005926119113
sh600033,0.6956428058415131,0.9951236226326216,1.6907664284741346
sh600035,0.695475221450802,0.9950516972503071,1.6905269187011092
sh600036,0.6953076370600909,0.9949797597349769,1.6902873967950678
sh600037,0.6951400526693798,0.9949078100816594,1.6900478627510394
sh600038,0.6949724682786689,0.9948358482853795,1.6898083165640485
sh600039,0.6948048838879578,0.994763874341159,1.6895687582291168
sh600048,0.6946372994972467,0.9946918882440164,1.6893291877412633
sh600050,0.6944697151065358,0.994619889988967,1.6890896050955027
sh600051,0.6943021307158247,0.9945478795710228,1.6888500102868473
sh600052,0.6941345463251136,0.9944758569851925,1.6886104033103062
sh600053,0.6939669619344027,0.9944038222264817,1.6883707841608844
sh600054,0.6937993775436916,0.9943317752898926,1.6881311528335843
sh600055,0.6936317931529806,0.9942597161704243,1.6878915093234048
sh600056,0.6934642087622696,0.9941876448630724,1.687651853625342
sh600057,0.6932966243715585,0.9941155613628295,1.687412185734388
sh600058,0.6931290399808475,0.9940434656646848,1.6871725056455324
sh600059,0.6929614555901364,0.9939713577636241,1.6869328133537604
sh600060,0.6927938711994254,0.9938992376546302,1.6866931088540555
sh600061,0.6926262868087144,0.9938271053326823,1.6864533921413967
sh600062,0.6924587024180033,0.9937549607927567,1.68621366321076
sh600063,0.6922911180272923,0.993682804029826,1.6859739220571184
sh600064,0.6921235336365813,0.9936106350388599,1.6857341686754412
sh600066,0.6919559492458702,0.9935384538148248,1.6854944030606949
sh600067,0.6917883648551592,0.9934662603526832,1.6852546252078424
sh600068,0.6916207804644481,0.993394054647395,1.685014835111843
sh600070,0.6914531960737371,0.9933218366939167,1.6847750327676538
sh600071,0.691285611683026,0.9932496064872013,1.6845352181702273
sh600072,0.691118027292315,0.9931773640221983,1.6842953913145133
sh600073,0.690950442901604,0.9931051092938543,1.6840555521954583
sh600075,0.6907828585108929,0.9930328422971126,1.6838157008080055
sh600076,0.6906152741201819,0.9929605630269128,1.6835758371470946
sh600077,0.6904476897294709,0.9928882714781915,1.6833359612076624
sh600078,0.6902801053387598,0.9928159676458818,1.6830960729846416
sh600079,0.6901125209480488,0.9927436515249137,1.6828561724729625
sh600080,0.6899449365573377,0.9926713231102137,1.6826162596675514
sh600081,0.6897773521666267,0.992598982396705,1.6823763345633318
sh600082,0.6896097677759156,0.9925266293793074,1.682136397155223
sh600083,0.6894421833852046,0.9924542640529376,1.6818964474381422
sh600084,0.6892745989944936,0.9923818864125088,1.6816564854070024
sh600085,0.6891070146037827,0.9923094964529308,1.6814165110567134
sh600086,0.6889394302130716,0.99223709416911,1.6811765243821815
sh600088,0.6887718458223605,0.9921646795559499,1.6809365253783104
sh600089,0.6886042614316495,0.9920922526083502,1.6806965140399996
sh600090,0.6884366770409385,0.9920198133212073,1.6804564903621457
sh600091,0.6882690926502274,0.9919473616894144,1.6802164543396418
sh600093,0.6881015082595163,0.9918748977078613,1.6799764059673776
sh600094,0.6879339238688054,0.9918024213714345,1.6797363452402398
sh600095,0.6877663394780943,0.9917299326750167,1.679496272153111
sh600096,0.6875987550873832,0.9916574316134881,1.6792561867008713
sh600097,0.6874311706966723,0.9915849181817246,1.679016088878397
sh600098,0.6872635863059612,0.9915123923745992,1.6787759786805605
sh600099,0.6870960019152501,0.9914398541869817,1.6785358561022319
sh600100,0.6869284175245391,0.9913673036137381,1.6782957211382774
sh600101,0.6867608331338281,0.9912947406497312,1.6780555737835594
sh600103,0.686593248743117,0.9912221652898205,1.6778154140329375
sh600104,0.6864256643524059,0.991149577528862,1.677575241881268
sh600105,0.686258079961695,0.9910769773617084,1.6773350573234034
sh600106,0.6860904955709839,0.9910043647832087,1.6770948603541926
sh600107,0.6859229111802728,0.9909317397882091,1.6768546509684819
sh600108,0.6857553267895619,0.9908591023715518,1.6766144291611136
sh600109,0.6855877423988508,0.990786452528076,1.6763741949269266
sh600110,0.6854201580081397,0.9907137902526172,1.676133948260757
sh600111,0.6852525736174288,0.9906411155400077,1.6758936891574363
sh600112,0.6850849892267178,0.9905684283850763,1.675653417611794
sh600113,0.6849174048360067,0.9904957287826485,1.675413133618655
sh600114,0.6847498204452956,0.9904230167275461,1.6751728371728416
sh600115,0.6845822360545846,0.9903502922145878,1.6749325282691725
sh600116,0.6844146516638736,0.9902775552385886,1.6746922069024621
sh600117,0.6842470672731625,0.9902048057943604,1.674451873067523
